Be0, Be1, Be2, Be3, Be4, Be5, Be6, Be7, Be8, Be9, Be10, Be11, Be12, Be13, Be14, Be15, Be16, Be17, Be18, Be19, Be20, Be21, Be22, Be23, Be24, Be25, Where 26, Where 27, Where 28, Where 29, Where 30, Where 31, Where 32, Where 33, Where 34, Where 35, Where 36, Where 37, Where 38, Where 39, Where 40, Where 41, Where 42, Where 43, Where 44, Where 49, Where 50, Where 51, Where 52, Where 53, Where 54 Where 55, Where 56, Where 57, Where 58, Where 59, Where 60, Where 61, Where 62, Where 63, Where 64, Where 65, Where 66, Where 67, Where 68, Where 69, Where 70, Where 71, Where 72, Where 73, Where 74, Where 75, Where 76, Where 77, Where 78, Where 79, Where 80, Where 81, Where 82, Where 83, Where 84, Where 85, Where 86, Where 87, Where 88, Where 89, Where 90, Where 91, Where 92
0,0.0,0.11562609,0.042202943,0.1859503,0.18711571,0.17953052,0.17954198,0.065504259,0.082539393,0.17561697,0.06686006,0.072517166,0.15790711,0.1657851,0.13925253,0.17154145,0.16791123,0.15004199,0.1641954,0.16731852,0.14975198,0.15845391,0.14251958,0.16740485,0.26110585,0.2644716,0.28230916,0.24327589,0.24688918,0.25493223,0.28043638,0.25984713,0.25944382,0.23796278,0.25219682,0.26344305,0.22437445,0.23015201,0.22149781,0.22313661,0.22458957,0.21786218,0.22890637,0.22077901,0.26095144,0.25388861,0.25670718,0.2490197,0.26400044,0.25671072,0.26124015,0.26608732,0.25150234,0.26646144,0.27239442,0.2530087,0.24588844,0.25610643,0.24756446,0.26479011,0.25288354,0.2484092,0.24206044,0.24627384,0.2514796,0.25914156,0.24343781,0.23452104,0.19090913,0.24438912,0.22648342,0.25705737,0.23694324,0.21962784,0.2256949,0.24116677,0.25892987,0.24311848,0.2281523,0.23368479,0.23494762,0.245267,0.24719823,0.23252053,0.21881571,0.23696011,0.25873185,0.22716484
1,0.11562609,0.0,0.12056124,0.18981009,0.19431702,0.18738805,0.1919215,0.09942936,0.088303318,0.18791731,0.097672183,0.10235103,0.14404529,0.13828052,0.13534905,0.14029908,0.14356516,0.13557402,0.1457345,0.14545964,0.12194614,0.14205,0.13139677,0.14881159,0.24381779,0.24655609,0.28604051,0.23467172,0.22940474,0.26297925,0.28533426,0.23102663,0.2404437,0.23014183,0.24596103,0.2784421,0.2393966,0.24619352,0.19945297,0.19675661,0.24285541,0.23478238,0.21985453,0.21123099,0.26420271,0.27592002,0.26844152,0.26162798,0.26462468,0.25921917,0.2630381,0.2696678,0.26944453,0.28331286,0.2874377,0.25910621,0.24086818,0.26584264,0.25987255,0.26274365,0.26286539,0.23988864,0.25720797,0.26856218,0.26826103,0.26653188,0.23221398,0.23668653,0.2134532,0.25065132,0.22988022,0.23781274,0.2276334,0.23531048,0.25376886,0.2516033,0.25785334,0.25870587,0.23669594,0.25139038,0.24677404,0.23224536,0.26682507,0.25086339,0.23590803,0.22849335,0.26517569,0.23091778
2,0.042202943,0.12056124,0.0,0.18672022,0.18213187,0.17366524,0.18169339,0.063125655,0.090763876,0.17656369,0.066045776,0.069384306,0.17031523,0.16126395,0.13838278,0.1749576,0.16520281,0.14949056,0.17062104,0.16796975,0.14909911,0.16321929,0.14885216,0.1715355,0.26222373,0.26856842,0.27970526,0.24845856,0.249661,0.2542343,0.27716865,0.260078,0.26039976,0.24230044,0.26348057,0.26371215,0.22729863,0.23149218,0.22501262,0.22407955,0.23410153,0.22322731,0.22891586,0.22376491,0.25469515,0.25454201,0.25382401,0.25113359,0.25770065,0.25627245,0.25936679,0.26278501,0.25200287,0.26387282,0.26160006,0.24820885,0.24820679,0.25837912,0.24987454,0.25991014,0.24413214,0.25402084,0.24388481,0.23924061,0.24553257,0.25771902,0.24377235,0.22584959,0.18752239,0.23941375,0.2308933,0.24285626,0.22795941,0.22052402,0.21406675,0.2267551,0.24558337,0.23178747,0.2134097,0.2211391,0.22236776,0.23400373,0.2375949,0.22230672,0.20949253,0.23373331,0.25021448,0.23529046
3,0.1859503,0.18981009,0.18672022,0.0,0.21141273,0.074611889,0.069573967,0.18231125,0.18242343,0.043113087,0.19043598,0.19138537,0.14546941,0.14031878,0.16188506,0.14001227,0.14170659,0.15804147,0.1396533,0.13534755,0.16703319,0.13958658,0.15988122,0.14367979,0.24003167,0.24420184,0.26262502,0.22735256,0.20872789,0.24747367,0.25867574,0.23556714,0.23775607,0.20210108,0.23558626,0.2609695,0.22207461,0.2214855,0.20966788,0.20185128,0.2127483,0.22072882,0.2005773,0.20438197,0.24269243,0.24991974,0.24843468,0.26824112,0.24144388,0.24048297,0.25718489,0.24564381,0.25345619,0.24836931,0.2573273,0.23713526,0.25849841,0.2600429,0.24476452,0.25181072,0.24048402,0.26742374,0.25413,0.23995729,0.24871363,0.24375317,0.24923101,0.20749038,0.22659917,0.21424461,0.22160652,0.24793805,0.21164516,0.24088594,0.23009035,0.2454312,0.23377762,0.22223298,0.23024859,0.24425128,0.24233074,0.21415518,0.2350094,0.23142441,0.23953711,0.20865137,0.20932709,0.22036232
4,0.18711571,0.19431702,0.18213187,0.21141273,0.0,0.21476063,0.21588805,0.18208105,0.17535932,0.20569375,0.17731529,0.1885359,0.17505583,0.17624765,0.16379865,0.18287173,0.17675317,0.16424871,0.18455162,0.18696453,0.15719376,0.17856058,0.16424541,0.18176916,0.23492813,0.23487717,0.25977698,0.24383639,0.2019614,0.24138454,0.25685204,0.24001278,0.24188916,0.18814742,0.23875729,0.22844976,0.21578369,0.22897071,0.18200646,0.17882489,0.20613526,0.21360224,0.18194684,0.17870691,0.22323853,0.22013222,0.22101447,0.22005848,0.23717734,0.20682069,0.21517317,0.23021303,0.21487476,0.22173633,0.23242293,0.21728648,0.21984079,0.19505315,0.21760323,0.22098355,0.23354219,0.21599799,0.20951553,0.21360351,0.22460893,0.22603491,0.2253227,0.22425612,0.22077702,0.21286702,0.21939227,0.23748273,0.22824144,0.24366965,0.24123635,0.23863621,0.24004053,0.22760933,0.22989652,0.223067,0.2373563,0.23311915,0.23073882,0.23106168,0.23015288,0.232332,0.2624948,0.22641665
5,0.17953052,0.18738805,0.17366524,0.074611889,0.21476063,0.0,0.041092014,0.18185329,0.17332195,0.062903961,0.18555254,0.18380904,0.14501228,0.13673537,0.15308099,0.14200847,0.14811386,0.14833714,0.14573398,0.13861678,0.15799537,0.14275954,0.15288712,0.14913339,0.23897372,0.24098262,0.25727567,0.21723932,0.2003371,0.24129603,0.25224266,0.22460588,0.22507921,0.19512207,0.2288859,0.25620221,0.21058137,0.20488403,0.20028563,0.19392979,0.20801171,0.20386529,0.19114807,0.19456966,0.25343516,0.2693173,0.25956276,0.26812891,0.25432429,0.25185123,0.27026072,0.25951263,0.2639364,0.26874773,0.27001605,0.24908772,0.26388394,0.26970395,0.25959343,0.2636107,0.24624287,0.26364617,0.27031301,0.25513975,0.26256073,0.25987701,0.24881809,0.21565488,0.21302241,0.21347856,0.23448281,0.2395204,0.21630968,0.25736568,0.22598508,0.23399277,0.23673747,0.21920481,0.22611221,0.2237649,0.23731284,0.21438874,0.23364178,0.21254259,0.21744698,0.21353292,0.21951232,0.2337592
6,0.17954198,0.1919215,0.18169339,0.069573967,0.21588805,0.041092014,0.0,0.18296927,0.17721417,0.068342968,0.18646994,0.18967254,0.14832017,0.13631802,0.15688908,0.1472057,0.15092718,0.15100922,0.15028379,0.14014767,0.16364392,0.1444613,0.151338,0.15191982,0.2432681,0.24847247,0.26031069,0.21886043,0.20762987,0.24759481,0.25559361,0.23456984,0.23115064,0.19944148,0.23202801,0.25951045,0.21462488,0.20992217,0.20724949,0.20026908,0.20754265,0.20567206,0.19818359,0.19862725,0.25446573,0.27263846,0.2650179,0.28172561,0.2588626,0.25789821,0.27421504,0.26341876,0.27080043,0.27056079,0.27246976,0.25417101,0.2676118,0.27366667,0.26578002,0.27027645,0.24962943,0.26547967,0.2749226,0.25982555,0.2675705,0.26113641,0.2502755,0.21411053,0.22338452,0.21629589,0.23637005,0.24399773,0.21493006,0.25602599,0.223832,0.23988441,0.23279947,0.22071758,0.22718336,0.22889065,0.24195553,0.21416408,0.23283844,0.21771117,0.21877008,0.21072447,0.22204496,0.2342715
7,0.065504259,0.09942936,0.063125655,0.18231125,0.18208105,0.18185329,0.18296927,0.0,0.091585945,0.18190655,0.054367962,0.060714249,0.14093744,0.14828747,0.1351811,0.15379976,0.14960627,0.13788806,0.15175806,0.14982006,0.13200094,0.15069188,0.1388513,0.14896695,0.25577045,0.26248533,0.2756504,0.24410237,0.2492188,0.25838664,0.27139995,0.25517914,0.25314793,0.23480688,0.25536646,0.24995578,0.23249296,0.24279358,0.2143369,0.21243581,0.23306004,0.22716215,0.22435093,0.21906217,0.25188451,0.25576142,0.24489688,0.24778413,0.25047869,0.24425892,0.25646433,0.26292904,0.26075777,0.25980935,0.2754682,0.24698438,0.24050897,0.25362068,0.23582239,0.2585796,0.24529253,0.24710858,0.24655035,0.24104128,0.24146609,0.24616825,0.23926428,0.22604472,0.19034024,0.23815983,0.22351434,0.24336168,0.22500349,0.22534728,0.22359053,0.23868019,0.25018515,0.23304662,0.22057795,0.22940088,0.22122536,0.22967277,0.24703448,0.23715509,0.22368746,0.22513718,0.24640515,0.22894565
8,0.082539393,0.088303318,0.090763876,0.18242343,0.17535932,0.17332195,0.17721417,0.091585945,0.0,0.17593467,0.09220713,0.09452612,0.14756889,0.14483685,0.13429807,0.14737601,0.15284682,0.13372924,0.15304815,0.15279348,0.13014203,0.14531911,0.13242913,0.14647798,0.24755858,0.25035901,0.28218336,0.24110029,0.23854105,0.25516103,0.28373496,0.24504759,0.24846349,0.22866189,0.25044016,0.26714186,0.22235437,0.23060872,0.2078275,0.20204235,0.2268349,0.22071673,0.21185738,0.20379955,0.26104258,0.25467843,0.25305977,0.2518086,0.26209981,0.24912288,0.25989197,0.26094123,0.25115205,0.26299386,0.27594115,0.2491215,0.23636872,0.2435213,0.24869483,0.26457938,0.25523504,0.2432358,0.24179726,0.24963791,0.25445443,0.25468089,0.23309718,0.23000063,0.20156028,0.25010514,0.2303476,0.24860562,0.2247942,0.23118742,0.23559644,0.25184069,0.2496466,0.24157058,0.23417782,0.23967036,0.24345656,0.23053276,0.2517573,0.23755069,0.23457897,0.22639228,0.26573741,0.22800413
9,0.17561697,0.18791731,0.17656369,0.043113087,0.20569375,0.062903961,0.068342968,0.18190655,0.17593467,0.0,0.18469439,0.18120597,0.13158152,0.13173981,0.15668956,0.13103821,0.13734104,0.15353882,0.13462652,0.12460071,0.15861846,0.1315322,0.15544066,0.13634912,0.23167695,0.23829406,0.26051773,0.22128985,0.19851582,0.24154894,0.2612918,0.23194451,0.23200883,0.18948508,0.23278634,0.25568624,0.21029324,0.2055197,0.19540222,0.18866144,0.20574652,0.21494877,0.18744733,0.19096656,0.25114999,0.26336185,0.25791921,0.26258759,0.25273406,0.24577276,0.26818401,0.25627224,0.259942,0.26445235,0.27084718,0.24567439,0.26595061,0.26139663,0.2564445,0.26241173,0.24590246,0.26877565,0.25861629,0.25043061,0.26100393,0.25088205,0.25178104,0.21575437,0.2109008,0.20021204,0.2174498,0.2397909,0.21468355,0.24057622,0.22048731,0.22506658,0.23383373,0.21707779,0.21245434,0.23768984,0.2322769,0.21847068,0.23081275,0.22179393,0.23019947,0.2135744,0.22208333,0.21807751
10,0.06686006,0.097672183,0.066045776,0.19043598,0.17731529,0.18555254,0.18646994,0.054367962,0.09220713,0.18469439,0.0,0.059843578,0.14217572,0.14507524,0.12893453,0.15043863,0.14895216,0.13314587,0.1518705,0.15641945,0.13811349,0.14288061,0.13177179,0.14441409,0.25364607,0.25443231,0.28840991,0.24560862,0.24691633,0.26211397,0.28736499,0.25202252,0.25350632,0.23801876,0.25038769,0.27110146,0.23239086,0.24489017,0.20833275,0.20886168,0.23349571,0.22703947,0.22387543,0.21624724,0.26177969,0.25394061,0.2555342,0.25961746,0.25958818,0.24782514,0.25173285,0.2710645,0.25843341,0.27053707,0.27503643,0.2500154,0.23752158,0.25694923,0.24339664,0.25361967,0.25053501,0.23797432,0.24185926,0.24959642,0.24900992,0.25193922,0.23246212,0.22099297,0.19784325,0.24188399,0.2136778,0.23933978,0.21728048,0.21761305,0.22425743,0.23219091,0.2468468,0.23514802,0.2264168,0.22928776,0.22986991,0.22652993,0.24663985,0.23367429,0.2209693,0.21914483,0.25081651,0.22273793
11,0.072517166,0.10235103,0.069384306,0.19138537,0.1885359,0.18380904,0.18967254,0.060714249,0.09452612,0.18120597,0.059843578,0.0,0.14460668,0.15351815,0.13761954,0.15390729,0.15379073,0.14514527,0.15153959,0.15615246,0.1438302,0.15188082,0.14326375,0.14713069,0.25320075,0.25924759,0.27316979,0.23110779,0.23466433,0.25683926,0.27199346,0.25444341,0.25141087,0.23752548,0.24612272,0.26635107,0.23465299,0.24260365,0.21625656,0.21742192,0.23093445,0.22418461,0.22657532,0.21804474,0.25547884,0.25830659,0.255906,0.25036865,0.25910239,0.25435877,0.25913496,0.26293304,0.25496531,0.27450462,0.26884152,0.25146437,0.23102134,0.26197986,0.24351391,0.26398853,0.25196283,0.23444523,0.23938815,0.252051,0.25364191,0.25941568,0.23272219,0.21928212,0.20829354,0.25004807,0.22418937,0.23455797,0.21740091,0.22051555,0.23070514,0.22578182,0.24397293,0.24404944,0.22348719,0.23150386,0.23223,0.22700965,0.24598555,0.23715906,0.23041191,0.21680758,0.25422942,0.22263675
12,0.15790711,0.14404529,0.17031523,0.14546941,0.17505583,0.14501228,0.14832017,0.14093744,0.14756889,0.13158152,0.14217572,0.14460668,0.0,0.064935362,0.10163333,0.060422774,0.058371232,0.10453294,0.065820173,0.055590895,0.098725589,0.060067296,0.098842664,0.062921655,0.20957715,0.20712414,0.24923688,0.20619844,0.17126056,0.23362984,0.25289209,0.20978745,0.20757081,0.15527449,0.21052059,0.23913969,0.19929053,0.2076898,0.13199586,0.1281911,0.20389021,0.2088605,0.14570605,0.14014504,0.24944907,0.24802337,0.25024739,0.25078658,0.24244905,0.24262881,0.24313377,0.25303074,0.25965172,0.25593835,0.26734253,0.23411887,0.24691263,0.25306532,0.24160229,0.2415144,0.24088003,0.25333628,0.24835515,0.24673019,0.24236932,0.24262419,0.24473176,0.24806402,0.2212368,0.21408747,0.22994421,0.23153479,0.23969426,0.24646508,0.23323292,0.23060704,0.26153283,0.24988332,0.21747037,0.23841416,0.22648551,0.24198289,0.25585631,0.22799287,0.23643632,0.24289333,0.23326743,0.22400765
13,0.1657851,0.13828052,0.16126395,0.14031878,0.17624765,0.13673537,0.13631802,0.14828747,0.14483685,0.13173981,0.14507524,0.15351815,0.064935362,0.0,0.096967225,0.069368304,0.063594314,0.089255923,0.063895033,0.059042078,0.089011423,0.058131919,0.086685973,0.068200655,0.22063284,0.20814647,0.25407874,0.21371254,0.1738858,0.2404495,0.2533781,0.21346991,0.2158352,0.16585781,0.20825858,0.24915975,0.21114877,0.21651856,0.14239083,0.13816786,0.20557919,0.20415758,0.15062802,0.15063085,0.24950239,0.2576348,0.25798894,0.26536539,0.23415197,0.24751709,0.24308505,0.25627594,0.2710724,0.25518591,0.26960178,0.2371716,0.2429373,0.26593788,0.24116458,0.24338008,0.24569151,0.24983282,0.2598921,0.24851116,0.24681128,0.23956825,0.23753073,0.23692857,0.22962665,0.21744249,0.22989449,0.22519364,0.22692796,0.25015069,0.23804579,0.23878125,0.24679717,0.24529592,0.22854907,0.24514121,0.23082263,0.22907244,0.25315293,0.22308079,0.23774681,0.22761532,0.22831057,0.22971177
14,0.13925253,0.13534905,0.13838278,0.16188506,0.16379865,0.15308099,0.15688908,0.1351811,0.13429807,0.15668956,0.12893453,0.13761954,0.10163333,0.096967225,0.0,0.10774227,0.11036026,0.045827795,0.11104851,0.11104622,0.078655103,0.09448343,0.043638195,0.10879458,0.22110732,0.22555736,0.25593366,0.21465841,0.19653615,0.2393367,0.2529134,0.21552664,0.21651715,0.18360904,0.22205628,0.23771963,0.20752544,0.21866723,0.16852162,0.15055508,0.20829955,0.21217314,0.16747505,0.16520548,0.23565572,0.24442729,0.23393907,0.242164,0.2352618,0.23034642,0.24165662,0.24563574,0.25522221,0.24773954,0.25412886,0.22379195,0.24932722,0.24281941,0.23856431,0.23724098,0.22535602,0.25244718,0.24382243,0.24431622,0.23685012,0.23202163,0.24608496,0.2468512,0.19625789,0.23757306,0.24496124,0.24309359,0.24481832,0.25467115,0.23742194,0.24883537,0.26689451,0.25646626,0.2269727,0.2338815,0.23898386,0.24214381,0.25599911,0.23164971,0.23293395,0.24816821,0.24395505,0.24477587
15,0.17154145,0.14029908,0.1749576,0.14001227,0.18287173,0.14200847,0.1472057,0.15379976,0.14737601,0.13103821,0.15043863,0.15390729,0.060422774,0.069368304,0.10774227,0.0,0.061798383,0.098029368,0.063591989,0.050007123,0.096332547,0.061446098,0.10439525,0.038487048,0.213692,0.20182683,0.25666026,0.20759307,0.17374417,0.23721083,0.26014166,0.20392993,0.21039789,0.16540266,0.2126082,0.25679544,0.21380699,0.22218054,0.13527601,0.12466498,0.21945222,0.21528568,0.14896914,0.14576474,0.24803726,0.26126449,0.25336151,0.27309118,0.2450376,0.24843535,0.24370621,0.25359965,0.27531052,0.26837467,0.27629472,0.24267932,0.24972928,0.27103783,0.2464625,0.24386582,0.2464762,0.25810814,0.26207727,0.25473225,0.24991844,0.25491554,0.24844374,0.25108146,0.2347444,0.235764,0.22253658,0.23757793,0.23955887,0.25824369,0.25337323,0.24842741,0.26285939,0.26106945,0.23416375,0.25407161,0.23511638,0.23788711,0.25771863,0.24082624,0.25213232,0.24162648,0.23793676,0.22544347
16,0.16791123,0.14356516,0.16520281,0.14170659,0.17675317,0.14811386,0.15092718,0.14960627,0.15284682,0.13734104,0.14895216,0.15379073,0.058371232,0.063594314,0.11036026,0.061798383,0.0,0.10092912,0.068262871,0.068146647,0.10220873,0.049127898,0.095942002,0.056309327,0.2222607,0.20819957,0.25863406,0.21294307,0.17888177,0.24594091,0.26051181,0.21051467,0.21534275,0.16544316,0.21493376,0.25081811,0.21450182,0.22010182,0.14673248,0.14124503,0.21325452,0.21374517,0.16362792,0.15492447,0.24351233,0.25123034,0.25082603,0.25491143,0.23439478,0.24245503,0.24232062,0.2533412,0.26020243,0.25326726,0.26642951,0.23241727,0.24897984,0.25478664,0.23482596,0.23802126,0.24503552,0.25639112,0.24930254,0.24671322,0.24583287,0.23956486,0.24663518,0.23496405,0.22391091,0.22509976,0.22914457,0.23599911,0.23140889,0.24371156,0.24036809,0.23960758,0.2544746,0.25040176,0.2249178,0.24803561,0.2292969,0.23135166,0.25565554,0.22784325,0.24603084,0.23552136,0.23337486,0.23089172
17,0.15004199,0.13557402,0.14949056,0.15804147,0.16424871,0.14833714,0.15100922,0.13788806,0.13372924,0.15353882,0.13314587,0.14514527,0.10453294,0.089255923,0.045827795,0.098029368,0.10092912,0.0,0.10667802,0.1020849,0.065469803,0.085866857,0.030939484,0.099871638,0.22042626,0.21619348,0.25549213,0.20789514,0.18487975,0.2414952,0.25089774,0.20602445,0.20917035,0.17519139,0.21222134,0.24356364,0.20618548,0.21584638,0.15502308,0.14288736,0.20607922,0.2091257,0.1584731,0.15900128,0.23152978,0.25408486,0.24077298,0.25085821,0.22772009,0.23341044,0.2450985,0.24499321,0.26284399,0.25863147,0.26012125,0.22679169,0.24457268,0.25819051,0.24044199,0.23828714,0.23013935,0.24988811,0.25089593,0.24968528,0.24675673,0.23352483,0.24230518,0.24460641,0.200108,0.23798299,0.24089902,0.23338655,0.2380242,0.25394931,0.23645715,0.24337865,0.26164172,0.25233889,0.22603889,0.22921471,0.23493105,0.23619162,0.25708992,0.22533124,0.23452596,0.23799517,0.24083983,0.24134891
18,0.1641954,0.1457345,0.17062104,0.1396533,0.18455162,0.14573398,0.15028379,0.15175806,0.15304815,0.13462652,0.1518705,0.15153959,0.065820173,0.063895033,0.11104851,0.063591989,0.068262871,0.10667802,0.0,0.053428079,0.10884598,0.063514988,0.1069402,0.056976826,0.22630795,0.21872417,0.26796825,0.21466027,0.17867943,0.2466173,0.26769361,0.21907487,0.22018563,0.16290204,0.22676739,0.25742304,0.22075383,0.22760072,0.14874853,0.14028478,0.22192054,0.22282854,0.15434013,0.15553734,0.25881436,0.26090548,0.25725334,0.26386505,0.24722985,0.25438051,0.24911648,0.26638335,0.27208462,0.26409134,0.27378718,0.25077138,0.25601637,0.26365058,0.24602115,0.25214308,0.25375271,0.26096825,0.25843598,0.25392663,0.25051053,0.24814761,0.24936108,0.24610634,0.2263584,0.2292945,0.23330627,0.23521562,0.23775474,0.24747322,0.24765591,0.24921359,0.26158631,0.25464858,0.2355326,0.2527609,0.23435263,0.23712922,0.26289348,0.23674214,0.2444568,0.23740032,0.24746744,0.23400488
19,0.16731852,0.14545964,0.16796975,0.13534755,0.18696453,0.13861678,0.14014767,0.14982006,0.15279348,0.12460071,0.15641945,0.15615246,0.055590895,0.059042078,0.11104622,0.050007123,0.068146647,0.1020849,0.053428079,0.0,0.10035718,0.066841769,0.10055097,0.047739106,0.20965058,0.20405461,0.24800651,0.20292855,0.16554805,0.23417312,0.24818515,0.20705166,0.20446672,0.16069612,0.20180575,0.2414713,0.2018997,0.20651118,0.13495871,0.13104054,0.20314985,0.20403344,0.1433181,0.14254811,0.24770831,0.25364445,0.25530435,0.26287472,0.23519586,0.24984897,0.24537837,0.25467102,0.27342715,0.25731718,0.27086115,0.23712549,0.24321279,0.2668096,0.2381596,0.24147047,0.24340133,0.25035584,0.25715691,0.24577004,0.24461698,0.23788065,0.23739242,0.23806519,0.22652205,0.21596065,0.23087567,0.22356373,0.23072212,0.2469085,0.2389018,0.237931,0.25123485,0.24571721,0.2297332,0.24209819,0.22819085,0.23467161,0.25210644,0.22463497,0.23922392,0.23208781,0.22681562,0.22812581
20,0.14975198,0.12194614,0.14909911,0.16703319,0.15719376,0.15799537,0.16364392,0.13200094,0.13014203,0.15861846,0.13811349,0.1438302,0.098725589,0.089011423,0.078655103,0.096332547,0.10220873,0.065469803,0.10884598,0.10035718,0.0,0.085257242,0.066006972,0.10146927,0.21588602,0.21080897,0.25357336,0.20901414,0.18469013,0.23925384,0.25156047,0.20273363,0.20235206,0.18013273,0.21569778,0.24275497,0.2097176,0.22376065,0.15598263,0.14252481,0.21078419,0.21137048,0.16639639,0.15871349,0.22076223,0.23168533,0.23123662,0.24185841,0.21274142,0.22399904,0.22019209,0.2324397,0.24879637,0.23332493,0.2439116,0.21652807,0.23687092,0.24777288,0.21231658,0.21715286,0.22254881,0.2407379,0.23923897,0.22545026,0.22491193,0.2191206,0.23521644,0.23475409,0.19626158,0.22970578,0.22704353,0.22250515,0.2271647,0.23993842,0.23602431,0.23837737,0.24962723,0.23999726,0.22288861,0.22470813,0.23378888,0.22704474,0.23776588,0.22414941,0.22715202,0.22514617,0.22946255,0.23092292
